"Mar 19, 2019 @ 20:59", 1017.83,
"Mar 20, 2019 @ 00:34", 1015.17,
"Mar 20, 2019 @ 18:47", 1009.59,
"Mar 20, 2019 @ 18:57", 1009.59,
"Mar 20, 2019 @ 19:07", 1009.59,
"Mar 20, 2019 @ 19:17", 1009.59,
"Mar 20, 2019 @ 19:24", 1009.74,
"Mar 20, 2019 @ 23:45", 1009.76,
"Mar 21, 2019 @ 14:07", 1009.74,
"Mar 21, 2019 @ 21:08", 1008.22,
"Mar 22, 2019 @ 07:19", 1009.58,
"Mar 22, 2019 @ 15:34", 1009.96,
"Mar 22, 2019 @ 18:27", 1009.96,
"Mar 22, 2019 @ 18:36", 1009.51,
"Mar 22, 2019 @ 19:33", 1009.58,
"Mar 23, 2019 @ 12:47", 1013.68,
"Mar 23, 2019 @ 18:07", 1013.66,
"Mar 23, 2019 @ 18:12", 1010.68,
"Mar 23, 2019 @ 18:17", 1010.70,
"Mar 23, 2019 @ 18:27", 1010.38,
"Mar 24, 2019 @ 13:33", 1008.34,
"Mar 25, 2019 @ 00:30", 1008.35,
"Mar 25, 2019 @ 09:37", 1006.01,
"Mar 25, 2019 @ 18:44", 1006.01,
"Mar 25, 2019 @ 18:49", 1010.64,
"Mar 26, 2019 @ 00:44", 1010.66,
"Mar 26, 2019 @ 01:06", 1013.89,
"Mar 26, 2019 @ 10:07", 1013.89,
"Mar 26, 2019 @ 16:58", 1015.85,
"Mar 27, 2019 @ 01:34", 1016.88,
"Mar 27, 2019 @ 09:13", 1016.88,
"Mar 27, 2019 @ 11:36", 1019.25,
"Mar 27, 2019 @ 14:22", 1018.65,
"Mar 27, 2019 @ 14:50", 1018.65,
"Mar 27, 2019 @ 19:50", 1015.42,
"Mar 28, 2019 @ 09:30", 1014.63,
"Mar 28, 2019 @ 10:12", 1014.63,
"Mar 28, 2019 @ 10:26", 1014.60,
"Mar 28, 2019 @ 10:43", 1014.48,
"Mar 28, 2019 @ 10:53", 1014.39,
"Mar 28, 2019 @ 10:58", 1014.34,
"Mar 28, 2019 @ 14:04", 1014.34,
"Mar 28, 2019 @ 14:09", 1012.06,
"Mar 28, 2019 @ 14:14", 1011.97,
"Mar 28, 2019 @ 14:19", 1011.88,
"Mar 28, 2019 @ 14:25", 1011.67,
"Mar 28, 2019 @ 14:38", 1011.64,
"Mar 28, 2019 @ 16:42", 1011.36,
"Mar 28, 2019 @ 18:24", 1009.79,
"Mar 28, 2019 @ 20:38", 1008.98,
"Mar 28, 2019 @ 22:54", 1009.56,
"Mar 29, 2019 @ 08:36", 1009.54,
"Mar 29, 2019 @ 21:53", 1003.47,
"Mar 30, 2019 @ 08:44", 1003.47,
"Mar 30, 2019 @ 08:49", 1001.21,
"Mar 30, 2019 @ 22:11", 1010.79,
"Mar 31, 2019 @ 08:56", 1010.71,
"Mar 31, 2019 @ 09:04", 1017.23,
